exchange,symbol,timestamp,local_timestamp,funding_timestamp,funding_rate,predicted_funding_rate,open_interest,last_price,index_price,mark_price
bybit,BTCUSD,1577836800091288,1577836801726384,1577836800000000,0.0001,0.0001,140348732,7169,7167.22,7168.09
bybit,BTCUSD,1577836800991443,1577836801726390,1577836800000000,0.0001,0.0001,140348732,7169,7167.22,7167.94
bybit,BTCUSD,1577836802491265,1577836802580982,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.22,7167.94
bybit,BTCUSD,1577836802891258,1577836802983884,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.93,7167.94
bybit,BTCUSD,1577836803591195,1577836803680375,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.93,7168.65
bybit,BTCUSD,1577836804891206,1577836804980494,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.48,7168.65
bybit,BTCUSD,1577836805391297,1577836805481283,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.45,7168.17
bybit,BTCUSD,1577836805591199,1577836805680856,1577865600000000,0.0001,0.0001,140348732,7169,7167.45,7168.17
bybit,BTCUSD,1577836805891156,1577836805981475,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.45,7168.17
bybit,BTCUSD,1577836806291233,1577836806381576,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.46,7168.17
bybit,BTCUSD,1577836806491296,1577836806581075,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.46,7168.18
bybit,BTCUSD,1577836808191196,1577836808281310,1577865600000000,0.0001,0.0001,140348732,7169,7167.46,7168.18
bybit,BTCUSD,1577836808491139,1577836808581514,1577865600000000,0.0001,0.0001,140348732,7168.5,7167.46,7168.18
bybit,BTCUSD,1577836811191347,1577836811281438,1577865600000000,0.0001,0.0001,140348732,7169,7167.46,7168.18
bybit,BTCUSD,1577836812291295,1577836812382847,1577865600000000,0.0001,0.0001,140348732,7166.5,7167.46,7168.18
bybit,BTCUSD,1577836812791531,1577836812881766,1577865600000000,0.0001,0.0001,140348732,7166.5,7167.58,7168.18
bybit,BTCUSD,1577836813391345,1577836813481919,1577865600000000,0.0001,0.0001,140348732,7166.5,7167.58,7168.3
bybit,BTCUSD,1577836815291305,1577836815381272,1577865600000000,0.0001,0.0001,140348732,7166.5,7165.64,7168.3
bybit,BTCUSD,1577836815491339,1577836815581381,1577865600000000,0.0001,0.0001,140348732,7166.5,7165.64,7166.36
bybit,BTCUSD,1577836817791302,1577836817880775,1577865600000000,0.0001,0.0001,140348732,7167,7165.64,7166.36
bybit,BTCUSD,1577836818791296,1577836818882538,1577865600000000,0.0001,0.0001,140348732,7166.5,7165.64,7166.36
bybit,BTCUSD,1577836824215033,1577836824313723,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.64,7166.36
bybit,BTCUSD,1577836824791513,1577836824880887,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.9,7166.36
bybit,BTCUSD,1577836825591266,1577836825681397,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.9,7166.62
bybit,BTCUSD,1577836826691290,1577836826781083,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.64,7166.62
bybit,BTCUSD,1577836827491415,1577836827581157,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.64,7166.36
bybit,BTCUSD,1577836830291360,1577836830381206,1577865600000000,0.0001,0.0001,140414762,7166.5,7165.11,7166.36
bybit,BTCUSD,1577836830391464,1577836830482663,1577865600000000,0.0001,0.0001,140414762,7166.5,7164.81,7165.53
bybit,BTCUSD,1577836830591453,1577836830682312,1577865600000000,0.0001,0.0001,140414762,7166.5,7164.77,7165.53
bybit,BTCUSD,1577836830691588,1577836830783520,1577865600000000,0.0001,0.0001,140414762,7163.5,7163.22,7165.53
bybit,BTCUSD,1577836830891502,1577836830982119,1577865600000000,0.0001,0.0001,140414762,7163.5,7163.18,7165.53
bybit,BTCUSD,1577836831191709,1577836831283093,1577865600000000,0.0001,0.0001,140414762,7163.5,7163.17,7165.53
bybit,BTCUSD,1577836831393963,1577836831483758,1577865600000000,0.0001,0.0001,140414762,7163.5,7163.17,7163.89
bybit,BTCUSD,1577836831695719,1577836831785585,1577865600000000,0.0001,0.0001,140414762,7164,7163.17,7163.89
bybit,BTCUSD,1577836831791217,1577836831881599,1577865600000000,0.0001,0.0001,140414762,7164,7163.15,7163.89
bybit,BTCUSD,1577836831894888,1577836831985281,1577865600000000,0.0001,0.0001,140414762,7164,7163.16,7163.89
bybit,BTCUSD,1577836832491612,1577836832583722,1577865600000000,0.0001,0.0001,140414762,7164,7163.16,7163.88
bybit,BTCUSD,1577836832591333,1577836832682815,1577865600000000,0.0001,0.0001,140414762,7164,7163.15,7163.88
bybit,BTCUSD,1577836833391301,1577836833481707,1577865600000000,0.0001,0.0001,140414762,7162.5,7163.15,7163.87
bybit,BTCUSD,1577836833691556,1577836833782469,1577865600000000,0.0001,0.0001,140414762,7162.5,7160.75,7163.87
bybit,BTCUSD,1577836833991484,1577836834083301,1577865600000000,0.0001,0.0001,140414762,7161,7160.75,7163.87
bybit,BTCUSD,1577836834391308,1577836834481063,1577865600000000,0.0001,0.0001,140414762,7161,7160.75,7161.47
bybit,BTCUSD,1577836835791268,1577836835886780,1577865600000000,0.0001,0.0001,140414762,7161,7160.74,7161.47
bybit,BTCUSD,1577836835991639,1577836836093086,1577865600000000,0.0001,0.0001,140414762,7161,7160.69,7161.47
bybit,BTCUSD,1577836836391479,1577836836481461,1577865600000000,0.0001,0.0001,140414762,7161,7160.69,7161.41
bybit,BTCUSD,1577836837291155,1577836837384844,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.69,7161.41
bybit,BTCUSD,1577836840791471,1577836840881367,1577865600000000,0.0001,0.0001,140414762,7160,7160.69,7161.41
bybit,BTCUSD,1577836840891183,1577836840982364,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.69,7161.41
bybit,BTCUSD,1577836843491489,1577836843580586,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.69,7161.4
bybit,BTCUSD,1577836846391169,1577836846482705,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.1,7161.4
bybit,BTCUSD,1577836846491423,1577836846580939,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.1,7160.81
bybit,BTCUSD,1577836855591114,1577836855680591,1577865600000000,0.0001,0.0001,140414762,7159.5,7159.83,7160.81
bybit,BTCUSD,1577836856491435,1577836856579794,1577865600000000,0.0001,0.0001,140414762,7159.5,7159.83,7160.54
bybit,BTCUSD,1577836860391388,1577836860480528,1577865600000000,0.0001,0.0001,140414762,7159.5,7161.58,7160.54
bybit,BTCUSD,1577836860491274,1577836860581732,1577865600000000,0.0001,0.0001,140414762,7159.5,7161.58,7162.29
bybit,BTCUSD,1577836865691223,1577836865780263,1577865600000000,0.0001,0.0001,140414762,7159.5,7158.74,7162.29
bybit,BTCUSD,1577836865791070,1577836865879877,1577865600000000,0.0001,0.0001,140414762,7159.5,7158.66,7162.29
bybit,BTCUSD,1577836866491320,1577836866580506,1577865600000000,0.0001,0.0001,140414762,7159.5,7158.66,7159.37
bybit,BTCUSD,1577836868791220,1577836868880812,1577865600000000,0.0001,0.0001,140414762,7159.5,7158.58,7159.37
bybit,BTCUSD,1577836869291245,1577836869383983,1577865600000000,0.0001,0.0001,140414762,7160,7158.58,7159.37
bybit,BTCUSD,1577836869491281,1577836869579996,1577865600000000,0.0001,0.0001,140414762,7160,7158.58,7159.29
bybit,BTCUSD,1577836870091206,1577836870180533,1577865600000000,0.0001,0.0001,140414762,7159.5,7158.58,7159.29
bybit,BTCUSD,1577836871091307,1577836871181831,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.5,7159.29
bybit,BTCUSD,1577836871491329,1577836871580321,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.5,7161.21
bybit,BTCUSD,1577836871591292,1577836871680716,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.61,7161.21
bybit,BTCUSD,1577836872491198,1577836872580829,1577865600000000,0.0001,0.0001,140414762,7159.5,7160.61,7161.32
bybit,BTCUSD,1577836874691563,1577836874783214,1577865600000000,0.0001,0.0001,140414762,7160,7160.61,7161.32
bybit,BTCUSD,1577836876191254,1577836876280727,1577865600000000,0.0001,0.0001,140414762,7160,7161.06,7161.32
bybit,BTCUSD,1577836876491217,1577836876579772,1577865600000000,0.0001,0.0001,140414762,7160,7161.06,7161.77
bybit,BTCUSD,1577836879591139,1577836879681077,1577865600000000,0.0001,0.0001,140414762,7159.5,7161.06,7161.77
bybit,BTCUSD,1577836880091411,1577836880182424,1577865600000000,0.0001,0.0001,140414762,7160,7161.06,7161.77
